date,quarter,warehouse_id,product_id,units_received,units_produced,units_shipped,closing_stock,reorder_flag,capacity_utilization_pct
2024-01-01,Q1 2024,WH-01,PRD-01,6,11,14,72,True,17.56
2024-01-02,Q1 2024,WH-01,PRD-01,13,9,10,71,True,17.32
2024-01-03,Q1 2024,WH-01,PRD-01,11,10,13,68,True,16.59
2024-01-04,Q1 2024,WH-01,PRD-01,13,10,16,62,True,15.12
2024-01-05,Q1 2024,WH-01,PRD-01,12,7,10,59,True,14.39
2024-01-06,Q1 2024,WH-01,PRD-01,11,12,10,61,True,14.88
2024-01-07,Q1 2024,WH-01,PRD-01,9,11,16,56,True,13.66
2024-01-08,Q1 2024,WH-01,PRD-01,8,11,13,54,True,13.17
2024-01-09,Q1 2024,WH-01,PRD-01,10,10,9,55,True,13.41
2024-01-10,Q1 2024,WH-01,PRD-01,13,7,12,50,True,12.2
2024-01-11,Q1 2024,WH-01,PRD-01,12,10,9,51,True,12.44
2024-01-12,Q1 2024,WH-01,PRD-01,9,10,9,52,True,12.68
2024-01-13,Q1 2024,WH-01,PRD-01,12,9,11,50,True,12.2
2024-01-14,Q1 2024,WH-01,PRD-01,12,10,5,55,True,13.41
2024-01-15,Q1 2024,WH-01,PRD-01,9,12,5,62,True,15.12
2024-01-16,Q1 2024,WH-01,PRD-01,12,16,9,69,True,16.83
2024-01-17,Q1 2024,WH-01,PRD-01,12,11,7,73,True,17.8
2024-01-18,Q1 2024,WH-01,PRD-01,9,11,12,72,True,17.56
2024-01-19,Q1 2024,WH-01,PRD-01,12,11,8,75,True,18.29
2024-01-20,Q1 2024,WH-01,PRD-01,13,6,6,75,True,18.29
2024-01-21,Q1 2024,WH-01,PRD-01,14,11,15,71,True,17.32
2024-01-22,Q1 2024,WH-01,PRD-01,14,11,10,72,True,17.56
2024-01-23,Q1 2024,WH-01,PRD-01,8,17,11,78,True,19.02
2024-01-24,Q1 2024,WH-01,PRD-01,9,10,6,82,True,20.0
2024-01-25,Q1 2024,WH-01,PRD-01,13,12,9,85,True,20.73
2024-01-26,Q1 2024,WH-01,PRD-01,13,11,11,85,True,20.73
2024-01-27,Q1 2024,WH-01,PRD-01,13,8,7,86,True,20.98
2024-01-28,Q1 2024,WH-01,PRD-01,20,14,12,88,True,21.46
2024-01-29,Q1 2024,WH-01,PRD-01,13,13,9,92,True,22.44
2024-01-30,Q1 2024,WH-01,PRD-01,14,13,10,95,False,23.17
2024-01-31,Q1 2024,WH-01,PRD-01,14,8,9,94,False,22.93
2024-02-01,Q1 2024,WH-01,PRD-01,13,15,17,92,True,22.44
2024-02-02,Q1 2024,WH-01,PRD-01,11,7,11,88,True,21.46
2024-02-03,Q1 2024,WH-01,PRD-01,13,12,7,93,True,22.68
2024-02-04,Q1 2024,WH-01,PRD-01,10,17,13,97,False,23.66
2024-02-05,Q1 2024,WH-01,PRD-01,11,8,7,98,False,23.9
2024-02-06,Q1 2024,WH-01,PRD-01,10,9,11,96,False,23.41
2024-02-07,Q1 2024,WH-01,PRD-01,12,11,4,103,False,25.12
2024-02-08,Q1 2024,WH-01,PRD-01,17,9,6,106,False,25.85
2024-02-09,Q1 2024,WH-01,PRD-01,7,7,11,102,False,24.88
2024-02-10,Q1 2024,WH-01,PRD-01,13,11,13,100,False,24.39
2024-02-11,Q1 2024,WH-01,PRD-01,8,8,11,97,False,23.66
2024-02-12,Q1 2024,WH-01,PRD-01,10,12,10,99,False,24.15
2024-02-13,Q1 2024,WH-01,PRD-01,14,8,10,97,False,23.66
2024-02-14,Q1 2024,WH-01,PRD-01,12,15,6,106,False,25.85
2024-02-15,Q1 2024,WH-01,PRD-01,9,9,8,107,False,26.1
2024-02-16,Q1 2024,WH-01,PRD-01,10,10,9,108,False,26.34
2024-02-17,Q1 2024,WH-01,PRD-01,13,13,14,107,False,26.1
2024-02-18,Q1 2024,WH-01,PRD-01,10,7,12,102,False,24.88
2024-02-19,Q1 2024,WH-01,PRD-01,12,11,5,108,False,26.34
2024-02-20,Q1 2024,WH-01,PRD-01,12,14,12,110,False,26.83
2024-02-21,Q1 2024,WH-01,PRD-01,10,6,9,107,False,26.1
2024-02-22,Q1 2024,WH-01,PRD-01,16,11,9,109,False,26.59
2024-02-23,Q1 2024,WH-01,PRD-01,13,11,13,107,False,26.1
2024-02-24,Q1 2024,WH-01,PRD-01,7,13,14,106,False,25.85
2024-02-25,Q1 2024,WH-01,PRD-01,12,7,14,99,False,24.15
2024-02-26,Q1 2024,WH-01,PRD-01,10,7,8,98,False,23.9
2024-02-27,Q1 2024,WH-01,PRD-01,13,12,10,100,False,24.39
2024-02-28,Q1 2024,WH-01,PRD-01,10,12,12,100,False,24.39
2024-02-29,Q1 2024,WH-01,PRD-01,11,11,14,97,False,23.66
2024-03-01,Q1 2024,WH-01,PRD-01,13,12,9,100,False,24.39
2024-03-02,Q1 2024,WH-01,PRD-01,13,9,10,99,False,24.15
2024-03-03,Q1 2024,WH-01,PRD-01,9,11,7,103,False,25.12
2024-03-04,Q1 2024,WH-01,PRD-01,11,12,7,108,False,26.34
2024-03-05,Q1 2024,WH-01,PRD-01,10,9,13,104,False,25.37
2024-03-06,Q1 2024,WH-01,PRD-01,10,16,15,105,False,25.61
2024-03-07,Q1 2024,WH-01,PRD-01,15,12,10,107,False,26.1
2024-03-08,Q1 2024,WH-01,PRD-01,12,8,14,101,False,24.63
2024-03-09,Q1 2024,WH-01,PRD-01,9,13,12,102,False,24.88
2024-03-10,Q1 2024,WH-01,PRD-01,14,8,9,101,False,24.63
2024-03-11,Q1 2024,WH-01,PRD-01,16,13,12,102,False,24.88
2024-03-12,Q1 2024,WH-01,PRD-01,14,14,16,100,False,24.39
2024-03-13,Q1 2024,WH-01,PRD-01,8,9,11,98,False,23.9
2024-03-14,Q1 2024,WH-01,PRD-01,10,13,16,95,False,23.17
2024-03-15,Q1 2024,WH-01,PRD-01,14,12,2,105,False,25.61
2024-03-16,Q1 2024,WH-01,PRD-01,10,13,13,105,False,25.61
2024-03-17,Q1 2024,WH-01,PRD-01,12,16,11,110,False,26.83
2024-03-18,Q1 2024,WH-01,PRD-01,13,10,10,110,False,26.83
2024-03-19,Q1 2024,WH-01,PRD-01,9,9,11,108,False,26.34
2024-03-20,Q1 2024,WH-01,PRD-01,11,8,4,112,False,27.32
2024-03-21,Q1 2024,WH-01,PRD-01,4,9,10,111,False,27.07
2024-03-22,Q1 2024,WH-01,PRD-01,9,11,12,110,False,26.83
2024-03-23,Q1 2024,WH-01,PRD-01,11,12,15,107,False,26.1
2024-03-24,Q1 2024,WH-01,PRD-01,9,12,9,110,False,26.83
2024-03-25,Q1 2024,WH-01,PRD-01,15,13,8,115,False,28.05
2024-03-26,Q1 2024,WH-01,PRD-01,8,11,9,117,False,28.54
2024-03-27,Q1 2024,WH-01,PRD-01,10,15,14,118,False,28.78
2024-03-28,Q1 2024,WH-01,PRD-01,12,10,12,116,False,28.29
2024-03-29,Q1 2024,WH-01,PRD-01,15,18,9,125,False,30.49
2024-03-30,Q1 2024,WH-01,PRD-01,8,12,12,125,False,30.49
2024-03-31,Q1 2024,WH-01,PRD-01,14,8,11,122,False,29.76
2024-01-01,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-02,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-03,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-04,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-05,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-06,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-07,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-08,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-09,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-10,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-11,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-12,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-13,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-14,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-15,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-16,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-17,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-18,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-19,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-20,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-21,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-22,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-23,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-24,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-25,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-26,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-27,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-28,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-29,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-30,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-01-31,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-01,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-02,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-03,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-04,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-05,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-06,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-07,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-08,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
2024-02-09,Q1 2024,WH-02,PRD-01,0,0,0,0,False,0.0
